,cell_types
19-2357,macrophage
19-1803,neutrophil
24-1922,NK
29-92,tumor
4-2588,tumor
4-1676,tumor
9-2331,fibroblast
14-766,macrophage
19-1642,neutrophil
4-2719,tumor
4-1340,tumor
9-692,endothelial
19-2153,neutrophil
29-1718,fibroblast
29-2825,mast
29-1374,plasmablast
29-917,pDC
9-2233,mast
19-1359,T CD4 naive
19-902,B-cell
9-1215,neutrophil
19-2784,mast
19-778,endothelial
24-1093,mDC
9-633,plasmablast
14-1986,macrophage
24-1861,tumor
19-2618,endothelial
29-3010,fibroblast
14-2085,neutrophil
9-350,macrophage
19-299,mDC
14-640,mast
24-2597,neutrophil
24-59,endothelial
29-672,plasmablast
4-2150,tumor
4-1056,neutrophil
14-2258,neutrophil
14-2123,B-cell
24-2592,NK
24-467,fibroblast
29-2884,fibroblast
9-3227,endothelial
9-1310,macrophage
14-1755,NK
14-283,macrophage
19-1059,macrophage
24-1803,epithelial
29-1468,monocyte
9-2430,endothelial
19-2220,macrophage
24-1835,epithelial
14-1822,neutrophil
14-1423,tumor
19-1666,neutrophil
29-747,plasmablast
4-2472,tumor
9-2728,epithelial
9-1243,neutrophil
19-462,macrophage
24-2010,macrophage
24-750,endothelial
4-2107,tumor
9-2647,endothelial
24-1762,neutrophil
29-2380,B-cell
9-1610,T CD4 naive
14-2660,neutrophil
19-1697,neutrophil
29-2704,mast
14-985,neutrophil
29-3163,B-cell
29-3145,NK
29-2417,pDC
19-2794,endothelial
24-210,mDC
29-1227,pDC
14-2369,macrophage
19-1906,neutrophil
24-870,mDC
24-585,endothelial
29-585,monocyte
9-994,B-cell
19-1473,endothelial
19-632,neutrophil
29-2906,fibroblast
19-2841,neutrophil
29-946,monocyte
19-423,neutrophil
19-1325,neutrophil
24-798,mDC
24-668,endothelial
24-622,fibroblast
9-126,neutrophil
19-2110,macrophage
24-373,monocyte
29-507,endothelial
24-1612,fibroblast
24-843,monocyte
9-61,endothelial
19-1794,neutrophil
9-830,macrophage
14-1184,T CD8 naive
19-1912,neutrophil
9-2927,macrophage
19-2783,neutrophil
9-573,endothelial
14-1123,B-cell
24-1569,macrophage
29-1263,T CD4 naive
4-2251,tumor
14-431,neutrophil
19-2814,neutrophil
19-359,neutrophil
24-921,NK
29-2347,pDC
29-836,neutrophil
4-3553,tumor
19-2501,NK
19-726,endothelial
29-637,neutrophil
29-97,tumor
9-1302,macrophage
14-467,neutrophil
19-2183,neutrophil
19-2897,neutrophil
29-2783,T CD4 naive
29-1176,plasmablast
29-2707,fibroblast
14-2303,NK
19-2270,macrophage
19-5,macrophage
4-2178,tumor
19-2782,neutrophil
4-1364,tumor
29-3127,monocyte
29-1925,T CD8 naive
14-923,endothelial
29-2857,fibroblast
29-2848,fibroblast
9-3167,epithelial
9-730,mast
24-1230,macrophage
24-1004,mDC
29-3085,mDC
9-2033,neutrophil
19-71,neutrophil
24-1080,fibroblast
24-559,macrophage
29-1002,pDC
29-463,neutrophil
9-1029,mast
14-382,neutrophil
24-435,mDC
29-779,T CD4 naive
9-2799,neutrophil
19-1158,macrophage
4-2546,tumor
14-2139,B-cell
14-1867,macrophage
19-1763,neutrophil
19-546,neutrophil
24-352,fibroblast
9-1746,neutrophil
14-2401,macrophage
19-2815,neutrophil
24-1060,mDC
29-1866,plasmablast
9-2190,neutrophil
29-2567,tumor
9-915,NK
14-1457,mast
14-1368,tumor
14-202,macrophage
19-945,macrophage
14-614,macrophage
19-1566,endothelial
19-589,neutrophil
24-1471,mast
24-2058,endothelial
19-1034,epithelial
24-11,fibroblast
24-1958,mast
24-57,endothelial
14-689,macrophage
14-93,macrophage
29-165,tumor
24-587,fibroblast
29-1848,T CD4 memory
29-1797,endothelial
4-3084,epithelial
29-880,endothelial
4-3540,tumor
19-2645,neutrophil
14-123,macrophage
9-567,endothelial
24-330,neutrophil
19-1341,macrophage
24-2282,neutrophil
24-785,mDC
4-2044,tumor
29-2755,fibroblast
29-2562,tumor
4-914,mast
9-2476,epithelial
9-505,epithelial
14-1243,macrophage
14-939,endothelial
19-2620,pDC
14-2035,NK
19-2859,endothelial
19-1281,macrophage
4-1110,epithelial
9-3151,neutrophil
9-1091,macrophage
24-2229,B-cell
29-2135,fibroblast
19-1569,macrophage
24-1782,endothelial
24-1152,mDC
29-2392,T CD8 naive
29-1435,T CD8 naive
19-1748,neutrophil
19-345,neutrophil
9-819,macrophage
19-2855,endothelial
29-1835,fibroblast
9-941,neutrophil
14-559,macrophage
19-2795,neutrophil
24-2220,fibroblast
29-2658,neutrophil
4-3533,tumor
9-1644,neutrophil
29-1371,mDC
14-1856,B-cell
19-2142,mDC
19-705,endothelial
19-117,epithelial
4-2246,tumor
4-2091,tumor
4-1244,epithelial
9-1343,macrophage
14-912,NK
14-265,macrophage
19-2241,macrophage
9-786,macrophage
9-25,tumor
24-132,endothelial
29-1480,plasmablast
4-2438,tumor
9-2204,neutrophil
14-65,macrophage
19-1664,B-cell
19-1431,tumor
14-2280,NK
29-719,pDC
4-1190,mDC
19-2205,macrophage
24-594,NK
4-3554,tumor
9-259,neutrophil
14-229,macrophage
14-2212,macrophage
19-2294,macrophage
29-65,NK
14-1023,epithelial
4-3365,tumor
14-839,mDC
19-797,macrophage
19-461,endothelial
24-882,T CD4 naive
29-3095,fibroblast
24-1723,fibroblast
24-2442,mDC
24-304,B-cell
19-1908,endothelial
29-1220,plasmablast
29-634,neutrophil
19-1385,neutrophil
24-1988,mast
24-2243,monocyte
29-2489,plasmablast
29-1117,plasmablast
9-1707,macrophage
9-1036,macrophage
19-1331,neutrophil
29-133,tumor
9-97,endothelial
24-504,mDC
14-402,mast
19-1854,neutrophil
24-378,B-cell
29-934,endothelial
4-3345,tumor
9-1291,neutrophil
9-564,endothelial
19-595,neutrophil
14-184,macrophage
19-677,endothelial
29-665,mDC
14-2079,macrophage
19-2527,endothelial
29-2948,fibroblast
29-273,tumor
29-2597,fibroblast
14-742,neutrophil
14-660,neutrophil
19-2081,macrophage
24-548,fibroblast
29-1757,fibroblast
29-1148,plasmablast
4-3356,tumor
9-1216,macrophage
14-359,neutrophil
19-1888,NK
24-445,monocyte
9-693,epithelial
29-190,tumor
19-1248,macrophage
29-2461,B-cell
29-2575,tumor
9-546,T CD4 naive
24-1649,monocyte
29-56,plasmablast
9-481,epithelial
24-2475,mast
24-934,mDC
14-687,NK
19-1472,macrophage
19-716,mast
24-2124,T CD4 naive
29-24,T CD4 memory
14-2039,mast
24-1161,mDC
24-2101,endothelial
9-368,tumor
19-1021,neutrophil
29-1424,fibroblast
4-2233,tumor
19-2666,neutrophil
24-2541,fibroblast
4-2750,tumor
24-2127,mast
29-1595,plasmablast
19-1802,endothelial
19-1632,endothelial
29-436,tumor
4-3386,tumor
9-2205,neutrophil
9-70,neutrophil
19-1311,neutrophil
19-407,macrophage
19-252,macrophage
29-2893,fibroblast
14-1065,epithelial
19-1962,plasmablast
9-762,neutrophil
19-1356,neutrophil
24-690,fibroblast
9-2812,neutrophil
19-285,macrophage
9-2326,epithelial
4-1760,tumor
14-1250,neutrophil
24-1424,mDC
9-1774,T CD4 naive
9-1536,macrophage
9-2184,neutrophil
24-2072,fibroblast
4-1924,tumor
14-619,neutrophil
24-363,monocyte
19-2333,macrophage
19-2154,mast
24-1078,mDC
29-1496,T CD4 naive
9-1013,neutrophil
14-2127,tumor
19-1180,macrophage
9-1386,macrophage
19-633,endothelial
24-96,endothelial
14-595,neutrophil
29-1437,fibroblast
29-1083,T CD4 naive
9-867,macrophage
19-1983,endothelial
29-1739,fibroblast
29-590,monocyte
19-2670,neutrophil
14-982,fibroblast
14-145,neutrophil
19-2590,macrophage
24-1143,neutrophil
9-2111,neutrophil
9-2833,endothelial
14-2114,tumor
14-1345,B-cell
19-1953,plasmablast
29-797,pDC
9-1606,macrophage
19-1863,neutrophil
19-2015,neutrophil
19-1548,macrophage
29-688,plasmablast
4-1849,tumor
19-448,macrophage
24-78,endothelial
29-2500,plasmablast
29-1720,fibroblast
19-1587,macrophage
19-1395,neutrophil
24-232,monocyte
14-68,tumor
19-2554,endothelial
19-2912,macrophage
29-1053,NK
29-2901,fibroblast
29-2666,pDC
9-971,macrophage
14-2176,tumor
14-2455,fibroblast
19-666,neutrophil
4-2277,tumor
19-931,neutrophil
29-145,tumor
4-3359,tumor
4-1187,endothelial
9-2928,neutrophil
19-2848,mDC
19-1744,endothelial
24-140,endothelial
29-1356,mDC
9-2841,endothelial
14-2281,neutrophil
24-1274,mDC
4-2337,tumor
24-502,monocyte
9-1358,neutrophil
19-308,neutrophil
4-2356,tumor
4-2203,tumor
9-173,T CD4 naive
14-468,macrophage
29-1153,mDC
9-2062,neutrophil
24-885,mDC
24-34,plasmablast
29-650,macrophage
9-3109,neutrophil
19-1380,neutrophil
24-1388,fibroblast
24-777,neutrophil
29-1213,T CD4 naive
14-870,neutrophil
4-2016,tumor
4-481,macrophage
4-310,macrophage
14-814,macrophage
29-1896,monocyte
4-1150,endothelial
9-391,epithelial
19-1308,neutrophil
19-6,macrophage
24-2013,T CD4 naive
29-2638,neutrophil
29-85,mDC
4-405,T CD4 naive
9-1319,neutrophil
24-1627,pDC
9-316,endothelial
19-333,neutrophil
14-330,macrophage
19-2890,neutrophil
19-986,macrophage
19-2662,neutrophil
9-2886,endothelial
19-809,neutrophil
29-36,neutrophil
14-2515,neutrophil
14-897,neutrophil
19-1649,epithelial
19-2673,endothelial
29-3140,Treg
29-2348,pDC
4-3565,tumor
4-2595,tumor
9-1387,macrophage
9-94,neutrophil
9-2934,neutrophil
24-284,B-cell
19-1856,endothelial
24-910,mDC
9-1460,macrophage
9-2834,endothelial
19-718,neutrophil
24-1467,mDC
29-2845,fibroblast
19-1479,macrophage
19-1339,macrophage
9-1705,neutrophil
19-1829,endothelial
24-804,monocyte
19-347,neutrophil
9-2838,T CD4 naive
24-1827,endothelial
29-569,fibroblast
19-2299,macrophage
24-1359,macrophage
4-1821,tumor
4-1298,tumor
24-1801,endothelial
4-3385,tumor
4-2069,tumor
4-1734,tumor
9-1877,macrophage
24-432,fibroblast
29-983,plasmablast
14-609,neutrophil
29-2339,monocyte
29-818,NK
14-2204,tumor
19-765,tumor
19-410,macrophage
9-2018,macrophage
14-2345,macrophage
9-537,T CD4 naive
24-2326,neutrophil
24-397,mDC
4-2174,tumor
9-1569,macrophage
9-1121,T CD4 naive
19-2875,macrophage
4-2001,tumor
9-1820,macrophage
9-2929,neutrophil
19-2881,neutrophil
24-2557,fibroblast
9-1745,neutrophil
19-1976,endothelial
19-515,neutrophil
4-3382,tumor
14-69,tumor
19-1067,macrophage
24-1694,NK
24-84,endothelial
29-1096,mDC
9-863,neutrophil
14-1429,fibroblast
14-1066,epithelial
9-3110,neutrophil
9-1344,neutrophil
29-2485,mDC
4-2344,tumor
19-1144,neutrophil
9-672,plasmablast
14-1474,mast
14-1300,epithelial
4-1904,tumor
19-97,epithelial
4-1944,tumor
19-627,neutrophil
4-2634,tumor
19-1448,neutrophil
24-2599,epithelial
29-2731,fibroblast
9-138,neutrophil
14-586,neutrophil
19-2155,neutrophil
19-1716,neutrophil
4-1765,tumor
19-2891,neutrophil
29-2439,T CD4 naive
4-2045,tumor
29-1054,T CD8 naive
9-1775,NK
19-2196,macrophage
19-1903,macrophage
19-660,neutrophil
24-894,T CD8 naive
29-1844,endothelial
29-720,plasmablast
9-3119,neutrophil
14-2520,endothelial
24-242,monocyte
29-649,mDC
4-1568,tumor
9-456,macrophage
19-923,neutrophil
24-1003,fibroblast
9-1258,neutrophil
24-1149,mDC
24-279,fibroblast
29-524,tumor
4-2272,tumor
19-1866,endothelial
29-1887,fibroblast
29-1701,fibroblast
4-3448,tumor
14-677,neutrophil
19-1944,mast
24-1434,NK
9-1670,macrophage
9-1370,neutrophil
24-1798,fibroblast
29-37,fibroblast
4-2298,tumor
4-3218,tumor
9-993,mast
19-2723,B-cell
14-1168,endothelial
4-2367,tumor
14-2408,macrophage
19-1836,neutrophil
19-1795,neutrophil
29-961,T CD4 naive
9-595,B-cell
29-2669,T CD4 naive
4-2677,tumor
4-2620,tumor
9-2839,epithelial
9-713,endothelial
24-299,neutrophil
4-2710,tumor
4-553,neutrophil
9-2882,endothelial
14-18,endothelial
24-313,neutrophil
24-40,T CD4 naive
29-1610,plasmablast
4-1514,tumor
4-1449,tumor
9-1180,neutrophil
9-1037,macrophage
9-856,neutrophil
9-796,neutrophil
4-3317,tumor
4-248,neutrophil
19-2307,macrophage
14-1268,NK
19-2373,macrophage
24-753,T CD8 naive
4-3258,tumor
4-3235,tumor
4-1639,tumor
9-625,endothelial
9-333,epithelial
9-101,neutrophil
19-829,neutrophil
29-1906,mDC
19-787,neutrophil
4-2210,tumor
4-2105,tumor
9-439,mDC
19-1388,macrophage
29-2384,fibroblast
29-2361,mast
29-800,pDC
14-940,endothelial
29-1306,NK
24-2572,endothelial
14-1409,endothelial
19-2884,neutrophil
19-489,neutrophil
24-2063,endothelial
4-2345,tumor
19-2057,macrophage
19-286,neutrophil
19-1302,macrophage
19-389,macrophage
4-1990,tumor
14-752,neutrophil
24-1822,fibroblast
24-1634,mDC
24-110,endothelial
4-580,neutrophil
19-1661,macrophage
19-1355,neutrophil
24-93,endothelial
29-2592,tumor
4-3237,tumor
29-2862,fibroblast
19-869,macrophage
24-1892,fibroblast
24-428,fibroblast
4-2244,tumor
9-2036,macrophage
14-2507,endothelial
19-1156,neutrophil
14-628,macrophage
4-3221,tumor
19-603,neutrophil
29-3138,mDC
4-2442,tumor
14-292,macrophage
19-571,neutrophil
24-1015,mDC
29-635,mDC
4-2127,tumor
4-380,neutrophil
9-823,monocyte
29-2318,mDC
9-1225,macrophage
19-678,macrophage
19-127,epithelial
24-655,mDC
29-3149,pDC
29-3064,fibroblast
19-1738,neutrophil
19-924,neutrophil
24-128,endothelial
14-405,macrophage
19-2823,neutrophil
29-2031,mDC
29-1876,fibroblast
4-2022,tumor
14-1303,monocyte
14-2374,tumor
19-1446,neutrophil
24-274,neutrophil
29-2112,plasmablast
4-3245,tumor
19-2676,neutrophil
19-182,tumor
19-22,endothelial
24-2453,mDC
19-1003,neutrophil
4-3261,tumor
9-2917,endothelial
14-2521,NK
19-2199,macrophage
29-1591,T CD4 naive
9-463,neutrophil
29-822,mDC
19-1553,macrophage
9-2094,neutrophil
19-67,endothelial
29-3048,mast
29-668,neutrophil
24-1305,T CD8 naive
24-243,mDC
29-3130,macrophage
29-963,pDC
29-735,plasmablast
9-549,endothelial
19-969,mast
24-347,fibroblast
9-1975,macrophage
14-2365,tumor
14-85,macrophage
19-1799,neutrophil
24-2551,plasmablast
19-80,endothelial
29-2517,T CD4 naive
29-2623,fibroblast
4-2059,tumor
4-3400,tumor
4-3277,tumor
19-1181,macrophage
29-2047,mDC
29-1347,T CD4 memory
9-574,T CD4 naive
14-2490,endothelial
24-524,fibroblast
9-673,NK
24-388,monocyte
29-864,fibroblast
19-834,macrophage
19-1878,macrophage
9-1286,NK
29-2881,endothelial
4-2653,tumor
4-2319,tumor
4-1572,tumor
24-1510,mDC
9-1475,neutrophil
19-2694,macrophage
4-554,macrophage
9-903,neutrophil
9-2938,neutrophil
14-1285,pDC
14-727,epithelial
19-1706,macrophage
19-1083,macrophage
4-2629,tumor
19-1457,macrophage
19-377,neutrophil
24-901,mDC
29-2900,fibroblast
4-2357,tumor
4-191,neutrophil
9-398,neutrophil
9-32,T CD8 naive
14-541,macrophage
19-2089,neutrophil
29-2415,endothelial
4-1349,tumor
24-1323,mDC
4-3443,tumor
4-3243,tumor
4-2918,neutrophil
9-1740,tumor
14-1371,endothelial
14-672,B-cell
29-1669,fibroblast
29-1145,mDC
19-2675,neutrophil
4-149,T CD4 naive
9-923,neutrophil
29-1230,plasmablast
9-2179,neutrophil
19-216,endothelial
24-1474,neutrophil
29-493,tumor
4-1076,tumor
14-1499,fibroblast
14-1490,epithelial
14-591,macrophage
19-105,endothelial
4-2213,endothelial
9-265,fibroblast
14-1630,endothelial
19-269,endothelial
9-1627,macrophage
9-1421,macrophage
9-2877,neutrophil
24-1840,macrophage
24-1366,mDC
4-3257,tumor
9-1379,macrophage
9-1038,NK
24-927,macrophage
9-1185,neutrophil
19-1393,neutrophil
4-2493,tumor
4-1817,tumor
9-3153,neutrophil
9-724,endothelial
19-1768,tumor
9-1217,neutrophil
24-1651,B-cell
29-1894,fibroblast
29-532,tumor
4-2225,endothelial
9-690,monocyte
14-1049,neutrophil
4-2417,tumor
24-630,monocyte
4-2039,tumor
9-1126,neutrophil
19-670,neutrophil
24-1736,NK
24-1098,mDC
24-2227,mDC
29-3107,endothelial
29-2694,fibroblast
4-267,macrophage
14-990,macrophage
4-1988,tumor
19-1357,macrophage
24-1070,fibroblast
24-662,fibroblast
24-305,monocyte
24-89,endothelial
9-417,neutrophil
19-2401,macrophage
24-1928,fibroblast
24-74,endothelial
29-1758,fibroblast
29-1730,fibroblast
9-1858,neutrophil
9-550,fibroblast
19-1036,macrophage
19-287,endothelial
24-2461,mDC
9-626,macrophage
19-563,neutrophil
29-2798,plasmablast
14-1035,neutrophil
29-2445,mast
9-967,macrophage
29-919,mDC
4-2283,mast
9-2218,neutrophil
14-1557,endothelial
14-58,endothelial
24-431,monocyte
24-238,mDC
9-1526,neutrophil
9-1320,macrophage
9-2946,neutrophil
24-1187,fibroblast
29-2311,plasmablast
14-632,neutrophil
4-2123,tumor
4-341,macrophage
9-2038,neutrophil
9-1113,neutrophil
24-213,fibroblast
4-664,macrophage
9-2098,neutrophil
14-2257,epithelial
4-2447,tumor
19-2017,macrophage
19-2672,neutrophil
24-1517,mDC
29-2242,endothelial
9-1890,macrophage
14-385,neutrophil
19-2145,macrophage
29-2360,fibroblast
29-1107,monocyte
4-406,macrophage
19-1616,macrophage
24-12,T CD8 naive
4-2425,tumor
9-1589,macrophage
29-2681,T CD4 memory
14-2482,epithelial
4-3283,tumor
9-1511,neutrophil
24-2173,pDC
29-2477,B-cell
24-2066,endothelial
29-2930,fibroblast
9-607,endothelial
24-121,endothelial
29-1711,mDC
4-188,neutrophil
14-2278,endothelial
29-616,T CD8 naive
9-195,endothelial
19-2588,neutrophil
4-2371,tumor
14-2498,mast
19-1894,macrophage
29-2515,B-cell
4-711,macrophage
9-3002,neutrophil
29-793,fibroblast
4-2648,tumor
9-1463,macrophage
19-2799,neutrophil
19-81,neutrophil
24-1219,T CD8 naive
4-965,tumor
14-713,neutrophil
19-1124,macrophage
4-2347,tumor
9-223,endothelial
19-1824,tumor
19-403,plasmablast
9-683,endothelial
9-581,endothelial
24-887,monocyte
29-1438,T CD4 naive
19-1752,tumor
14-1476,epithelial
19-1466,neutrophil
19-156,tumor
4-1336,tumor
4-1245,tumor
19-2684,mast
19-433,endothelial
19-178,tumor
29-662,macrophage
14-1440,B-cell
14-916,macrophage
14-478,macrophage
24-2443,fibroblast
29-1033,fibroblast
24-2484,mDC
24-2254,monocyte
29-1869,fibroblast
29-1702,fibroblast
4-2003,tumor
14-2003,endothelial
19-1365,macrophage
24-406,mDC
9-1176,neutrophil
19-1289,macrophage
9-1730,neutrophil
14-2217,mast
19-1264,neutrophil
19-2674,neutrophil
4-2040,tumor
24-2561,plasmablast
14-2161,endothelial
14-1073,neutrophil
29-2541,neutrophil
4-3324,tumor
4-235,neutrophil
14-2444,neutrophil
24-1818,plasmablast
24-169,endothelial
24-1655,T CD8 naive
29-495,tumor
29-698,plasmablast
4-1624,tumor
4-1468,tumor
4-1084,tumor
4-431,macrophage
4-2814,tumor
4-2746,tumor
19-2289,macrophage
24-919,fibroblast
29-2012,mDC
29-1748,endothelial
4-3260,tumor
4-77,tumor
14-1289,fibroblast
14-273,macrophage
24-1369,T CD4 naive
9-1794,neutrophil
14-809,neutrophil
24-1163,fibroblast
4-523,macrophage
29-2396,endothelial
4-1975,tumor
19-847,neutrophil
29-3009,B-cell
29-909,pDC
14-2561,endothelial
14-1545,epithelial
14-428,macrophage
14-1595,endothelial
29-135,tumor
19-2459,macrophage
19-1453,neutrophil
24-939,mDC
24-369,mDC
29-2147,endothelial
9-2880,endothelial
24-255,T CD8 naive
29-2711,mDC
29-435,tumor
9-1743,neutrophil
9-1506,neutrophil
29-2700,T CD8 naive
4-1875,tumor
4-3184,tumor
9-2060,neutrophil
9-1586,neutrophil
9-300,endothelial
14-979,macrophage
19-496,neutrophil
24-1131,T CD8 naive
29-2329,plasmablast
4-1657,tumor
14-648,epithelial
19-1192,macrophage
24-1545,mDC
29-2422,endothelial
14-361,macrophage
19-1689,macrophage
4-3333,tumor
24-2009,macrophage
24-292,macrophage
24-1750,neutrophil
24-137,endothelial
29-2979,fibroblast
9-809,fibroblast
14-1036,neutrophil
24-13,T CD4 naive
9-2527,macrophage
19-530,macrophage
29-2443,plasmablast
14-178,macrophage
29-1164,mDC
9-1335,macrophage
19-1999,neutrophil
4-1557,tumor
9-2697,macrophage
24-2426,fibroblast
24-65,endothelial
4-123,tumor
9-2588,macrophage
9-1860,neutrophil
14-841,mDC
19-70,macrophage
19-2589,neutrophil
29-2868,fibroblast
4-3379,T CD4 memory
4-2064,tumor
9-72,endothelial
19-1408,macrophage
24-778,fibroblast
29-2341,fibroblast
9-2251,macrophage
19-695,mDC
19-100,neutrophil
24-385,T CD4 naive
9-2943,T CD4 naive
29-1580,monocyte
4-3510,tumor
14-1108,neutrophil
29-2496,mDC
9-413,fibroblast
19-2051,B-cell
19-802,neutrophil
29-1734,fibroblast
4-269,macrophage
9-2800,T CD8 naive
9-1102,epithelial
14-1356,NK
19-890,macrophage
19-218,neutrophil
4-3454,tumor
9-725,endothelial
19-2361,macrophage
4-3278,tumor
4-1481,tumor
4-200,neutrophil
19-1504,macrophage
19-1779,neutrophil
14-2337,endothelial
24-400,mDC
29-2841,fibroblast
14-583,macrophage
14-352,macrophage
19-2536,neutrophil
29-2649,endothelial
29-374,tumor
4-3259,tumor
4-2346,tumor
4-2961,neutrophil
9-2417,macrophage
19-413,neutrophil
24-1456,NK
4-2188,fibroblast
4-466,macrophage
9-1631,neutrophil
9-596,macrophage
19-1543,macrophage
19-2677,macrophage
19-313,neutrophil
24-875,macrophage
24-2079,plasmablast
9-1825,neutrophil
24-102,endothelial
29-1698,mDC
29-425,tumor
4-2140,endothelial
9-1681,macrophage
19-1954,neutrophil
4-286,macrophage
9-1576,macrophage
9-151,neutrophil
24-606,fibroblast
29-1948,fibroblast
14-2554,endothelial
29-973,pDC
14-688,neutrophil
4-1914,tumor
9-655,endothelial
14-2497,endothelial
14-246,neutrophil
19-1645,neutrophil
19-261,NK
24-1678,mDC
9-1896,macrophage
24-892,monocyte
9-2896,macrophage
19-2985,neutrophil
4-1686,tumor
14-127,macrophage
29-584,neutrophil
19-1239,neutrophil
24-1444,fibroblast
24-825,monocyte
24-362,monocyte
4-3477,tumor
9-41,plasmablast
19-2830,mast
29-2620,fibroblast
4-3499,tumor
9-949,macrophage
14-1075,endothelial
24-687,monocyte
14-1901,endothelial
24-1520,T CD8 naive
29-1967,fibroblast
4-232,neutrophil
24-861,B-cell
4-58,tumor
19-2587,neutrophil
9-1027,endothelial
14-872,endothelial
19-1977,macrophage
29-692,mDC
14-2614,fibroblast
14-2560,endothelial
19-2423,macrophage
19-2209,neutrophil
19-578,macrophage
19-2597,B-cell
4-2080,tumor
9-2140,macrophage
24-1222,mDC
4-3187,tumor
4-767,neutrophil
9-2870,endothelial
9-2821,mast
14-1665,fibroblast
24-1013,mDC
29-2357,endothelial
29-2833,fibroblast
14-305,mast
24-1758,NK
29-3050,fibroblast
9-2334,macrophage
9-2012,neutrophil
29-1897,endothelial
4-2561,tumor
4-1828,tumor
4-714,neutrophil
9-2923,endothelial
14-1372,macrophage
24-1412,mDC
29-2116,mDC
19-1857,macrophage
24-1036,monocyte
29-1122,plasmablast
9-193,neutrophil
24-459,fibroblast
4-1070,tumor
9-3135,monocyte
14-2124,endothelial
14-2575,fibroblast
19-1300,macrophage
4-209,neutrophil
9-2669,macrophage
9-1296,epithelial
9-127,endothelial
14-2327,epithelial
19-1458,macrophage
24-1153,mDC
29-352,tumor
29-118,tumor
14-735,neutrophil
19-2137,mDC
19-1007,tumor
29-1817,fibroblast
4-456,NK
9-1840,neutrophil
14-1270,endothelial
14-830,neutrophil
14-362,plasmablast
14-346,neutrophil
19-1789,neutrophil
29-903,endothelial
19-1687,tumor
24-1946,macrophage
4-1526,tumor
14-1306,endothelial
19-837,neutrophil
24-1141,NK
29-1412,NK
4-1564,tumor
9-2709,macrophage
9-1632,neutrophil
14-2601,fibroblast
24-1820,NK
9-2689,macrophage
14-209,neutrophil
19-2990,neutrophil
24-913,plasmablast
4-362,macrophage
19-2256,neutrophil
24-607,fibroblast
24-263,monocyte
24-187,fibroblast
19-2461,macrophage
29-1090,plasmablast
4-15,tumor
9-2295,macrophage
9-2881,mast
9-158,endothelial
14-1789,endothelial
14-789,macrophage
19-291,neutrophil
29-2863,fibroblast
29-2533,neutrophil
4-3459,tumor
9-1581,neutrophil
9-2910,endothelial
19-2744,macrophage
24-368,mDC
29-2449,T CD8 naive
4-2197,tumor
4-3172,tumor
9-348,endothelial
14-530,macrophage
19-1831,mast
19-440,macrophage
19-174,macrophage
24-1578,mDC
24-2028,endothelial
4-2108,fibroblast
24-116,endothelial
4-90,tumor
9-2851,endothelial
24-2232,fibroblast
29-2009,monocyte
14-396,macrophage
19-1898,macrophage
19-814,monocyte
24-1106,mDC
24-342,macrophage
29-721,mast
19-1585,macrophage
24-642,macrophage
4-3307,tumor
9-2158,macrophage
14-2674,endothelial
14-1692,endothelial
19-974,tumor
29-1984,fibroblast
4-2469,tumor
19-2635,neutrophil
9-1032,plasmablast
29-2369,endothelial
9-602,macrophage
9-310,endothelial
14-1725,fibroblast
24-1504,fibroblast
24-2131,T CD4 naive
24-61,endothelial
29-12,tumor
4-3180,tumor
24-1315,monocyte
29-1788,fibroblast
4-3450,tumor
4-1610,tumor
9-3303,tumor
9-886,endothelial
19-2026,macrophage
19-1373,neutrophil
29-1204,T CD4 naive
4-1450,tumor
4-690,neutrophil
9-272,fibroblast
24-2505,fibroblast
29-2055,mast
29-1703,plasmablast
4-3518,tumor
9-2879,mast
14-2107,endothelial
19-2327,macrophage
29-1902,endothelial
19-1695,tumor
19-2660,neutrophil
19-2654,monocyte
24-1427,mDC
29-947,plasmablast
29-2640,endothelial
4-2147,endothelial
9-646,fibroblast
19-2169,neutrophil
24-1983,macrophage
9-424,endothelial
19-1186,macrophage
4-2364,tumor
9-1714,macrophage
24-158,fibroblast
29-536,fibroblast
29-330,tumor
4-1025,tumor
19-1402,neutrophil
29-980,pDC
29-872,endothelial
9-3205,neutrophil
9-1448,epithelial
19-911,neutrophil
29-673,T CD4 naive
29-617,fibroblast
29-452,tumor
19-1549,macrophage
24-1184,mDC
4-243,neutrophil
9-1909,macrophage
29-2942,fibroblast
24-387,neutrophil
29-1031,pDC
29-827,endothelial
4-3153,tumor
9-2583,macrophage
9-2532,macrophage
9-1192,endothelial
19-1673,tumor
19-1633,tumor
19-229,macrophage
24-932,fibroblast
9-975,neutrophil
19-3028,epithelial
19-572,epithelial
14-1102,macrophage
14-19,epithelial
4-2599,tumor
4-2254,tumor
4-2211,tumor
4-3182,tumor
9-1978,neutrophil
9-1064,plasmablast
14-266,NK
19-2633,neutrophil
29-2985,fibroblast
14-2033,mDC
29-1287,plasmablast
14-2229,NK
14-160,endothelial
19-2700,neutrophil
29-3006,monocyte
4-3344,endothelial
24-2050,endothelial
4-3446,tumor
4-2330,tumor
4-2018,tumor
9-1127,endothelial
19-1522,neutrophil
19-1115,macrophage
19-2636,neutrophil
14-1863,endothelial
14-2568,endothelial
14-691,neutrophil
19-1788,neutrophil
9-877,mast
14-623,mast
24-800,plasmablast
24-366,NK
14-82,endothelial
