,cell_types
1-2379,macrophage
1-1668,plasmablast
1-1470,mast
16-3400,tumor
26-2120,plasmablast
26-466,tumor
6-2207,endothelial
26-384,tumor
11-3526,tumor
21-2787,fibroblast
21-484,endothelial
26-743,fibroblast
1-349,tumor
11-1035,tumor
1-312,epithelial
11-1900,mDC
6-5108,T CD4 naive
6-1530,pDC
21-1783,endothelial
6-3725,plasmablast
21-2161,T CD4 memory
6-2154,T CD4 naive
16-322,plasmablast
6-3657,endothelial
11-3729,neutrophil
11-1238,tumor
16-3129,pDC
26-83,tumor
1-1451,mast
6-1460,pDC
6-204,tumor
1-676,T CD4 naive
6-5178,T CD4 naive
6-4208,tumor
11-3040,tumor
1-2341,T CD4 naive
6-2074,B-cell
26-1086,macrophage
6-2598,B-cell
6-1103,fibroblast
16-3755,tumor
26-2996,neutrophil
1-2093,fibroblast
6-2487,T CD4 naive
11-1152,tumor
11-352,tumor
16-2922,fibroblast
21-1693,neutrophil
1-1421,mDC
1-195,epithelial
6-3922,epithelial
6-381,tumor
16-3742,tumor
6-5080,plasmablast
21-2638,fibroblast
26-3307,T CD4 naive
26-969,macrophage
26-110,tumor
6-1775,B-cell
11-1329,tumor
16-772,fibroblast
21-2398,fibroblast
1-1746,T CD4 naive
1-271,epithelial
6-5008,T CD4 naive
1-1373,mast
16-3018,endothelial
26-3267,neutrophil
26-2769,tumor
6-1236,fibroblast
1-2394,mast
6-5049,plasmablast
6-561,tumor
16-1701,tumor
6-4587,B-cell
11-2487,tumor
1-2402,mast
6-290,tumor
16-3841,fibroblast
26-3035,fibroblast
26-602,fibroblast
6-1970,endothelial
11-1203,tumor
11-207,tumor
16-3621,tumor
21-1151,plasmablast
26-439,tumor
11-999,tumor
16-1195,tumor
16-1048,tumor
16-3078,pDC
16-59,pDC
6-5256,plasmablast
6-5238,NK
11-1449,tumor
11-126,tumor
11-1853,T CD4 naive
11-720,tumor
16-197,endothelial
26-2761,plasmablast
16-617,fibroblast
26-3094,plasmablast
6-3760,T CD4 naive
11-1362,tumor
21-1128,fibroblast
26-702,fibroblast
26-491,tumor
6-865,endothelial
21-1238,mDC
26-677,fibroblast
16-3888,fibroblast
1-1500,epithelial
6-1723,pDC
21-2214,pDC
6-3840,B-cell
11-1052,tumor
16-2460,tumor
16-3423,tumor
16-861,plasmablast
26-2913,fibroblast
1-1765,B-cell
6-4466,fibroblast
11-1751,tumor
11-474,tumor
11-2974,epithelial
16-3635,tumor
16-1143,tumor
21-911,pDC
11-1083,tumor
16-3725,tumor
16-431,fibroblast
26-752,tumor
6-3377,plasmablast
6-1566,pDC
16-3701,tumor
6-2501,T CD8 naive
11-1416,tumor
21-2450,endothelial
6-3190,T CD4 naive
26-1916,mDC
6-5062,T CD8 naive
6-2721,mast
11-1628,tumor
21-2405,fibroblast
26-2132,plasmablast
6-3702,plasmablast
16-3626,tumor
26-1146,mast
6-1174,mDC
11-226,tumor
26-1991,plasmablast
6-5228,epithelial
6-3621,mast
16-1030,tumor
11-1283,tumor
11-1127,tumor
6-3806,B-cell
16-942,tumor
1-1844,macrophage
11-3026,tumor
16-1221,tumor
21-2817,mast
21-493,plasmablast
26-3380,plasmablast
26-3165,plasmablast
21-1635,macrophage
26-832,fibroblast
6-2636,plasmablast
6-746,epithelial
11-1931,tumor
21-955,Treg
26-1095,neutrophil
16-86,fibroblast
21-453,fibroblast
6-2194,T CD4 naive
21-815,endothelial
6-1873,mast
6-319,tumor
11-2988,epithelial
16-1855,tumor
21-520,plasmablast
6-3488,plasmablast
6-4811,T CD4 naive
6-2439,T CD4 naive
6-2119,T CD4 naive
11-1702,tumor
16-3525,tumor
26-926,fibroblast
26-117,tumor
11-2820,macrophage
16-1764,tumor
6-523,tumor
11-450,tumor
16-1914,tumor
1-1401,pDC
21-2500,endothelial
1-1416,endothelial
6-3326,plasmablast
16-2434,tumor
6-3225,B-cell
26-874,fibroblast
26-3070,neutrophil
26-647,mDC
11-549,tumor
26-1703,fibroblast
26-2904,tumor
1-1777,B-cell
16-3716,tumor
6-3508,plasmablast
11-1244,tumor
11-943,tumor
16-3487,tumor
6-1406,T CD8 naive
11-1667,tumor
11-3450,tumor
16-3102,plasmablast
6-1476,pDC
11-342,tumor
16-2499,endothelial
16-1359,tumor
21-883,endothelial
21-565,fibroblast
26-411,tumor
16-1831,tumor
21-1648,pDC
6-1995,neutrophil
6-1815,fibroblast
16-1021,tumor
1-1486,epithelial
6-5242,Treg
11-2776,macrophage
11-381,tumor
16-520,plasmablast
26-79,tumor
16-1710,tumor
21-537,plasmablast
26-1369,plasmablast
6-4722,mDC
6-2086,T CD4 naive
11-1980,tumor
11-193,tumor
16-1256,tumor
1-2043,epithelial
6-3785,T CD4 naive
26-448,tumor
6-4758,T CD8 naive
11-3543,tumor
11-3246,endothelial
16-104,fibroblast
21-1421,plasmablast
6-3272,mast
16-2124,tumor
1-1671,neutrophil
6-2484,plasmablast
11-1173,tumor
6-3726,plasmablast
11-497,tumor
26-3193,plasmablast
26-580,fibroblast
1-1259,macrophage
16-3645,mast
16-1811,tumor
16-3167,fibroblast
1-1737,endothelial
6-1028,fibroblast
11-736,tumor
26-1440,plasmablast
6-3381,pDC
